"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"PinSocket_1x08_P2.54mm_Vertical";1;"Digital/PWM";;;
2;"IC1";"SSCDANV015PAAA5";1;"SSCDANV015PAAA5";;;
3;"R1,R6,R3,R5,R4,R2";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";6;"1k";;;
4;"D4,D6,D5,D2,D1,D3";"LED_D5.0mm";6;"LED";;;
5;"U1";"MODULE_DEV-13712";1;"DEV-13712";;;
6;"J1";"PinSocket_1x10_P2.54mm_Vertical";1;"Digital/PWM";;;
7;"J5";"PinSocket_1x08_P2.54mm_Vertical";1;"CONN_GYRO";;;
8;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"Analog";;;
9;"J2";"PinSocket_1x08_P2.54mm_Vertical";1;"Power";;;
10;"SENS-1";"SENSOR-DHT11";1;"DHT11";;;
11;"U3";"XDCR_TMP36GT9";1;"TEMP35";;;
12;"J7";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"CONN_TEMP";;;
